School,Street Address,Street Zip,Latitude,Longitude
Foothills Middle,171 East Sycamore Ave.,91006-2452,34.152912,-118.026051
Highland Oaks Elementary,10 Virginia Dr.,91006-1899,34.160294,-118.031243
Holly Avenue Elementary,360 West Duarte Rd.,91007-3097,34.127517,-118.044446
Holy Angels,360 Campus Dr.,91007-6917,34.130373,-118.044727
Hugo Reid Elementary,1000 Hugo Reid Dr.,91007-6179,34.138089,-118.062644
Huntington High (Cont.),20 South 3rd Ave.,91006,No Data,No Data
Logos Academia,Information Redacted,91780,No Data,No Data
Longley Way Elementary,2601 Longley Way,91007-5099,34.107822,-118.041191
Our Lady of the Angels Academy,1100 West Duarte Rd.,91007-7726,34.124048,-118.064759
Rancho Learning Center (Alternative),150 South Third Ave.,91006-3703,34.138031,-118.023522
Renaissance Academy,325 N. Santa Anita Ave.,91006-2878,34.143914,-118.032413
Richard Henry Dana Middle,1401 South First Ave.,91006-4134,34.124234,-118.028092
Santa Anita Elementary,1900 S. Santa Anita Ave.,91006,No Data,No Data
Serendipity Early Care and Education Center,Information Redacted,91007-1007,No Data,No Data
Serendipity Early Care and Education Center,Information Redacted,91006-1006,No Data,No Data
Steps Academy,Information Redacted,91006-3607,Information Redacted,Information Redacted
TECC Learning Center,Information Redacted,91006-3926,Information Redacted,Information Redacted
UC Tutor Service,"20 E Foothill Blvd, Ste 216",91006-2335,34.150632,-118.030684
Wonder Years Montessori,Information Redacted,91007,Information Redacted,Information Redacted
No Data,546 South Citrus Ave.,91702-0500,No Data,No Data
Alice M. Ellington Elementary,5034 North Clydebank,91722-1115,34.103441,-117.921085
Alternative Learning Center (Cont.),5834 North Barranca Canyon,91740,No Data,No Data
Alternative Learning Ctr. (Cont.),1134 South Barranca,91740,No Data,No Data
Auburn Academy,1044 N Alameda Ave,91702-2101,34.140697,-117.905859
Azusa Adult Education Center,1040 East Gladstone St.,91742,34.113828,-117.886588
Azusa High,240 North Cerritos Ave.,91702-3733,34.125392,-117.899365
Center Middle,5500 North Cerritos Ave.,91702-5731,34.113011,-117.898882
Charles H. Lee Elementary,550 North Cerritos Ave.,91702-3013,34.130820,-117.899969
Christbridge Academy,405 South Azusa Ave.,91702-4935,34.115774,-117.908312
Citrus Laboratory,456 E. Fifth St.,91702,No Data,No Data
Clifford D. Murray Elementary,505 East Renwick Rd.,91702-5664,34.111151,-117.901967
Foothill Middle,151 North Fenimore Ave.,91702-3921,34.123368,-117.893325
Gladstone Middle,1340 North Enid,91722-1214,34.104997,-117.914362
Gladstone Street Elementary,1040 East Gladstone St.,91702-4837,34.114008,-117.886146
Henry Dalton Elementary,500 East 10th St.,91702-2417,34.138935,-117.902339
Liberty Preparatory Academy,Information Redacted,91702-4740,Information Redacted,Information Redacted
Light and Life Christian,Information Redacted,91702,No Data,No Data
Longfellow,245 West 10th St.,91702-2310,34.139509,-117.909773
Longfellow,245 West 10th St.,91702-2310,34.139089,-117.909309
Longfellow,245 West Tenth St.,91702-2310,34.139050,-117.909361
Magnolia Elementary,945 East Nearfield,91702-4752,34.116741,-117.888901
Mountain View Elementary,201 North Vernon Ave.,91702-4335,34.119818,-117.916335
Paramount Elementary,409 West Paramount St.,91702-4423,34.118105,-117.911617
Sierra High,1040 East Gladstone St.,91702-4837,34.113828,-117.886588
Slauson Intermediate,340 West Fifth St.,91702-2912,34.129818,-117.910640
St. Frances of Rome Elementary,734 North Pasadena Ave.,91702-2535,34.134616,-117.901769
Valleydale Elementary,700 South Lark Ellen,91702-5499,34.110877,-117.916415
Victor F. Hodge Elementary,700 West 11th St.,91702-1909,34.140839,-117.914983
W. R. Powell Elementary,1035 East Mauna Loa,91702-4025,34.125125,-117.886637
William Drendel Elementary,5834 Barranca St.,91740,No Data,No Data
No Data,3699 North Holly Ave.,91706-5397,No Data,No Data
Alpha & Omega Christian Academy,Information Redacted,91706-5331,Information Redacted,Information Redacted
Baldwin Park Adult and Community Education,4640 North Maine Ave.,91706-4829,34.096590,-117.959298
Baldwin Park Alternative,4730 Baldwin Park Blvd.,91706,34.098336,-117.964832
Baldwin Park Community Day,No Data,No Data,No Data,No Data
Baldwin Park High,3900 North Puente Ave.,91706-4428,34.083315,-117.949953
BP STEM Academy,4733 Landis Ave.,91706-2565,34.098331,-117.963313
Central Elementary,14741 Central Ave.,91706-5617,34.083434,-117.953163
Charles Bursch Elementary,4245 North Merced Ave.,91706-2960,34.089341,-117.973624
Charles D. Jones Middle,14250 East Merced Ave.,91706-5205,34.076110,-117.966288
Creative Planet School of the Arts,Information Redacted,91706-2467,Information Redacted,Information Redacted
De Anza Elementary,12820 Bess St.,91706-4546,34.069000,-117.996300
East Valley Adventist,3554 Maine Ave.,91706-5153,34.076786,-117.968775
Elwin Elementary,13010 East Waco St.,91706-3798,34.073889,-117.990302
Ernest R. Geddes Elementary,14600 Cavette Pl.,91706-2799,34.097753,-117.956905
Foster Elementary,13900 Foster Ave.,91706-4926,34.072206,-117.972324
Kenmore Elementary,3823 Kenmore Ave.,91706-4039,34.081665,-117.974360
Margaret Heath Elementary,14321 School St.,91706-1650,34.101406,-117.962674
Mid Valley Learning Center,Information Redacted,91706,No Data,No Data
North Park Continuation High,4600 Bogart Ave.,91706-2703,34.095624,-117.957606
Olive Middle,13701 Olive St.,91706-2398,34.099469,-117.975819
Opportunities for Learning - Baldwin Park,"12731 Ramona Blvd., Ste. 201",91706-3670,34.079021,-117.994340
Opportunities For Learning - Baldwin Park II,320 North Halstead St.,91107-3147,34.152079,-118.079030
Pleasant View Elementary,14900 East Nubia St.,91706-1999,34.103260,-117.952864
Santa Fe Fundamental,4650 Baldwin Park Blvd.,91706-2506,34.096833,-117.964850
Sierra Vista High,3600 North Frazier St.,91706-3897,34.076695,-117.980532
Sierra Vista Middle,13400 Foster Ave.,91706-4838,34.075854,-117.979108
St. John the Baptist School,3870 Stewart Ave.,91706-4133,34.082664,-117.967460
Tracy Elementary,13350 Tracy St.,91706-4798,34.072336,-117.983733
Vineland Elementary,3609 Vineland Ave.,91706-5398,34.080125,-117.960031
Walnut Elementary,4701 North Walnut St.,91706-2328,34.096752,-117.975862
No Data,904 Willow Ave.,91746-1615,No Data,No Data
Bassett Adult,943 North Sunkist,91746-1696,34.052208,-117.969661
Bassett Elementary,546 N. Vineland Ave.,91746,No Data,No Data
Bassett Senior High,755 Ardilla Ave.,91746-2163,34.051475,-117.976423
Bishop Amat Memorial High,14301 Fairgrove Ave.,91746-1712,34.053974,-117.965391
CHILDREN'S MONTESSORI,Information Redacted,91711,No Data,No Data
Creative Corners,Information Redacted,91746,Information Redacted,Information Redacted
Don Julian Elementary,13855 Don Julian Rd.,91746-2518,34.038100,-117.993564
Edgewood Academy,14135 East Fairgrove Ave.,91746-1708,34.055785,-117.967984
Florence E. Flanner Elementary,1314 N. Leborgne St.,91746,No Data,No Data
J. E. Van Wig Elementary,1151 North Van Wig Ave.,91746-1328,34.060523,-117.974801
Keenan (Ethel D.) Elementary,454 Coberta St.,91746,No Data,No Data
Nueva Vista Continuation High,904 Willow Ave.,91746-1696,34.052426,-117.972380
PUENTE AVE. PRESCHOOL,Information Redacted,91746,No Data,No Data
Puente Valley Charter Middle,13006 Philadelphia #411,90601,No Data,No Data
St. Louis of France,13901 East Temple Ave.,91746-2021,34.048668,-117.978918
Sunkist Elementary,935 Mayland Ave.,91746-1625,34.056567,-117.973798
Thomas M. Erwin Elementary,943 North Sunkist Ave.,91746-1733,No Data,No Data
Torch Middle,751 North Vineland Ave.,91746-1914,34.057340,-117.984310
No Data,16703 South Clark Ave.,90706-5203,No Data,No Data
Accelerate Christian Academy,Information Redacted,90712-1302,Information Redacted,Information Redacted
Adventist Union School,15548 Santa Ana Ave,90706-3547,33.891821,-118.135355
Albert Baxter Elementary,14929 Cerritos Ave.,90706-2827,33.898008,-118.139923
Bellflower Adult Education Center,6024 Clark Ave.,90712,33.864970,-118.133290
Bellflower Alternative Education Center,16703 South Clark Ave.,90706-5203,33.882908,-118.134000
Bellflower High,15301 South McNab Ave.,90706-4101,33.894402,-118.113102
Betsy Ross Center (MH) Preschool,4718 East Michelson St.,90712,No Data,No Data
C.L. Prep Academy,Information Redacted,90706-3116,Information Redacted,Information Redacted
Christ Heritage Academy,Information Redacted,90706-4002,Information Redacted,Information Redacted
Craig Williams Elementary,6144 North Clark Ave.,90712-1211,33.866541,-118.133778
Creative Day Academy,8740 Ramona St.,90706-6321,33.872447,-118.145374
Ernie Pyle Elementary,14500 South Woodruff Ave.,90706-3237,33.899404,-118.116575
Esther Lindstrom Elementary,5900 North Canehill St.,90713-1251,33.861910,-118.110610
Faithfirst Christian Academy,Information Redacted,90712-1302,Information Redacted,Information Redacted
Frank E. Woodruff Elementary,15332 South Eucalyptus St.,90706-3706,33.893890,-118.121790
Intensive Learning Center,4718 East Michelson St.,90712-1851,33.857315,-118.137228
Kaicyna Christian Academy,Information Redacted,90706,No Data,No Data
Las Flores Elementary,10039 East Palm St.,90706-6013,33.876715,-118.120176
Las Flores Home Education Independent Study Academy,10039 East Palm St.,90706-6013,33.876682,-118.119811
Learning Tree Preparatory Academy,Information Redacted,90706,No Data,No Data
Lincoln Elementary,9553 E. Beach St.,90706,No Data,No Data
Mayfair High,6000 North Woodruff Ave.,90713-1124,33.863670,-118.117143
Ramona Elementary,9351 East Laurel St.,90706-5615,33.882997,-118.135227
Rogers (Will) Elementary,9219 E. Ramona St.,90706,No Data,No Data
Roosevelt (Franklin D.) Junior,6145 N. Clark Ave.,90712,No Data,No Data
Saint Joseph High School,5825 North Woodruff Ave.,90713-1198,33.862117,-118.117309
Somerset High,9242 East Laurel St.,90706-7607,33.882868,-118.137550
Southland Christian Academy,16400 Woodruff Ave.,90706-4912,33.885146,-118.117022
St. Bernard,9626 Park St.,90706-5825,33.878213,-118.128270
Stephen Foster Elementary,5223 East Bigelow St.,90712-2023,33.857532,-118.131233
Therapeutic Education Center - Bellflower,Information Redacted,90706-7029,No Data,No Data
Thomas Jefferson Elementary,10027 East Rose St.,90706-6916,33.869758,-118.118416
Thompson (May) Elementary,15143 S. Ryon St.,90706,No Data,No Data
Valley Christian Elementary,Information Redacted,90706,No Data,No Data
Valley Christian Elementary School,17408 Grand Ave.,90706-6822,33.874835,-118.112011
Veritas Christian School,Information Redacted,90706,No Data,No Data
Washington Elementary,9725 East Jefferson St.,90706-3615,33.893063,-118.126089
Whole Heart Christian Academy,Information Redacted,90706-2712,Information Redacted,Information Redacted
Wonderland Montessori,10440 Artesia Blvd,90706-6872,33.872537,-118.111765
Wonderland Primary,Information Redacted,90706,No Data,No Data
Woodrow Wilson (Defunct),6024 N Clark Ave.,90712,No Data,No Data
WOODRUFF CHRISTIAN,Information Redacted,90706,No Data,No Data
No Data,624 N. Rexford Dr.,90210-3312,No Data,No Data
Beverly Hills Academy,489 S.Robertson Blvd 206,90211,34.057389,-118.383987
Beverly Hills Academy,Information Redacted,90210-3833,No Data,No Data
Beverly Hills Adult,255 South Lasky Dr.,90212-3644,No Data,No Data
Beverly Hills Christian Academy,Information Redacted,90210,Information Redacted,Information Redacted
Beverly Hills High,241 Moreno Dr.,90212-3639,34.062080,-118.410577
Beverly Hills Prep,Information Redacted,90212,No Data,No Data
Beverly Vista Middle,200 South Elm Dr.,90212-4011,34.064979,-118.394806
Calm River Academy,Information Redacted,90210-3518,Information Redacted,Information Redacted
El Rodeo Elementary,605 North Whittier Dr.,90210-3112,34.067156,-118.414735
Futures Academy - Beverly Hills,Information Redacted,90211-3223,Information Redacted,Information Redacted
Genius Lab,Information Redacted,90212-4001,Information Redacted,Information Redacted
Global Citizen Leadership,5901 W Century Blvd,90045-5405,33.946096,-118.386591
Good Shepherd Catholic School,148 South Linden Dr.,90212-2209,34.065345,-118.407692
Harkham Hillel Hebrew Academy,9120 West Olympic Blvd.,90212-3508,34.059083,-118.389992
Hawthorne Elementary,624 North Rexford Dr.,90210-3312,34.077495,-118.403406
